Date,ShopName,Prefecture,longitude,latitude,Open,genres
2021-11-06,FunFunMonster,福岡県,130.8811213156691,33.8851149339654,1, #ドーナツ
2021-11-04,フロレスタ戸越銀座店,東京都,139.7135049129692,35.61582008020978,1, #ドーナツ
2021-10-29,KAMOGAWA BAKERY 堀川五条店,京都府,135.75219593151223,34.99590081849097,1, #ドーナツ
2021-10-27,クリスピー・クリーム・ドーナツ 則武新町店,愛知県,136.8777393156908,35.179988364904176,1, #ドーナツ
2021-10-27,ミスタードーナツ フルルガーデン八千代ショップ,千葉県,140.11585003981492,35.722493690614556,1, #ドーナツ
2021-10-27,ミスタードーナツ 鶴見駅前ショップ,神奈川県,139.67491853542026,35.50879129709903,1, #ドーナツ
2021-09-30,ミッドランドシネマ ドーナツ ファクトリー,愛知県,136.88635318202242,35.17002441517525,1, #ドーナツ
2021-09-25,RACINES DONUT&ICE CREAM（ラシーヌ ドーナツ＆アイスクリーム）,東京都,139.71300394415235,35.66759001537437,1, #ドーナツ
2021-09-10,ROMII DONUT STORE ロミードーナツストア,茨城県,140.57267041571072,36.32042220225762,1, #ドーナツ
2021-09-09,クリスピー・クリーム・ドーナツ 東急百貨店さっぽろ店,北海道,141.35352607122553,43.06655477058034,1, #ドーナツ
2021-08-31,ミスタードーナツ 松井山手ショップ,京都府,135.71936061568476,34.83346978360262,1, #ドーナツ
2021-08-20,KUMANOWA  クマノワ,兵庫県,134.93921561523203,34.688545780437515,1, #ドーナツ
2021-08-19,福ベーグル 前橋南町店,群馬県,139.06235791571166,36.37589059916763,1, #ドーナツ
2021-08-05,ミスタードーナツ アルデ新大阪ショップ,大阪府,135.49864751568316,34.73372468895551,1, #ドーナツ
2021-08-04,ウフフドーナチュ旧軽井沢,長野県,138.6321736157113,36.35699610022079,1, #ドーナツ
2021-07-27,AOYAGI BAGEL 西荻窪店,東京都,139.60206080555736,35.703770236342066,1, #ドーナツ
2021-07-23,日々是君想(ひびこれきもおも),東京都,139.66321800555875,35.768322432797156,1, #ドーナツ
2021-07-20,ミスタードーナツ イトーヨーカドー武蔵小杉ショップ,神奈川県,139.65750637865077,35.57560441142828,1, #ドーナツ
2021-07-19,クリスピー・クリーム・ドーナツ 丸井吉祥寺店,東京都,139.57899971290044,35.70199953643918,1, #ドーナツ
2021-07-19,フロレスタ熊本水道町店,熊本県,130.71258382924893,32.803011026060005,1, #ドーナツ
Date,ShopName,Prefecture,longitude,latitude,0, #ドーナツ
2021-11-06,FunFunMonster,福岡県,130.8811213156691,33.8851149339654,1, #ドーナツ
2021-11-04,フロレスタ戸越銀座店,東京都,139.7135049129692,35.61582008020978,1, #ドーナツ
2021-10-29,KAMOGAWA BAKERY 堀川五条店,京都府,135.75219593151223,34.99590081849097,1, #ドーナツ
2021-10-27,クリスピー・クリーム・ドーナツ 則武新町店,愛知県,136.8777393156908,35.179988364904176,1, #ドーナツ
2021-10-27,ミスタードーナツ フルルガーデン八千代ショップ,千葉県,140.11585003981492,35.722493690614556,1, #ドーナツ
2021-10-27,ミスタードーナツ 鶴見駅前ショップ,神奈川県,139.67491853542026,35.50879129709903,1, #ドーナツ
2021-09-30,ミッドランドシネマ ドーナツ ファクトリー,愛知県,136.88635318202242,35.17002441517525,1, #ドーナツ
2021-09-25,RACINES DONUT&ICE CREAM（ラシーヌ ドーナツ＆アイスクリーム）,東京都,139.71300394415235,35.66759001537437,1, #ドーナツ
2021-09-10,ROMII DONUT STORE ロミードーナツストア,茨城県,140.57267041571072,36.32042220225762,1, #ドーナツ
2021-09-09,クリスピー・クリーム・ドーナツ 東急百貨店さっぽろ店,北海道,141.35352607122553,43.06655477058034,1, #ドーナツ
2021-08-31,ミスタードーナツ 松井山手ショップ,京都府,135.71936061568476,34.83346978360262,1, #ドーナツ
2021-08-20,KUMANOWA  クマノワ,兵庫県,134.93921561523203,34.688545780437515,1, #ドーナツ
2021-08-19,福ベーグル 前橋南町店,群馬県,139.06235791571166,36.37589059916763,1, #ドーナツ
2021-08-05,ミスタードーナツ アルデ新大阪ショップ,大阪府,135.49864751568316,34.73372468895551,1, #ドーナツ
2021-08-04,ウフフドーナチュ旧軽井沢,長野県,138.6321736157113,36.35699610022079,1, #ドーナツ
2021-07-27,AOYAGI BAGEL 西荻窪店,東京都,139.60206080555736,35.703770236342066,1, #ドーナツ
2021-07-23,日々是君想(ひびこれきもおも),東京都,139.66321800555875,35.768322432797156,1, #ドーナツ
2021-07-20,ミスタードーナツ イトーヨーカドー武蔵小杉ショップ,神奈川県,139.65750637865077,35.57560441142828,1, #ドーナツ
2021-07-19,クリスピー・クリーム・ドーナツ 丸井吉祥寺店,東京都,139.57899971290044,35.70199953643918,1, #ドーナツ
2021-07-19,フロレスタ熊本水道町店,熊本県,130.71258382924893,32.803011026060005,1, #ドーナツ
2021-07-19,ミスタードーナツ イオンモール白山ショップ,石川県,136.58227964458027,36.54356387936845,1, #ドーナツ
2021-07-12,クリスピー・クリーム・ドーナツ 札幌ル・トロワ店,北海道,141.35561820570018,43.06031899858211,1, #ドーナツ
2021-07-12,byROOTH,福岡県,130.87949292925006,33.88459201212529,1, #ドーナツ
2021-07-06,小麦の奴隷 名古屋千種店,愛知県,136.92653425825776,35.16541867285497,1, #ドーナツ
2021-07-05,ミスタードーナツ千里中央駅前ショップ,大阪府,135.49475489859873,34.809625546725734,1, #ドーナツ
2021-07-01,BAGEL & BAGEL Tokyo 新宿ミロード店,東京都,139.69913783351623,35.68898840917234,1, #ドーナツ
2021-06-24,ミスタードーナツ イオンモール津田沼店,千葉県,140.023932956957,35.69030733708074,1, #ドーナツ
2021-06-24,ミスタードーナツ  ユアエルム八千代台ショップ,千葉県,140.0914072292359,35.70060038784279,1, #ドーナツ
2021-06-15,ミーヤベーグル,長野県,-1,-1,1, #ドーナツ
2021-06-12,フロレスタ三軒茶屋店,東京都,139.6704509550262,35.64379148005629,1, #ドーナツ
2021-06-12,sino.a Bagel TOYAMA,富山県,136.91593110557181,36.50955759170487,1, #ドーナツ
2021-06-02,ミスタードーナツ イオンモール川口ショップ,埼玉県,139.72340665828898,35.83760199503955,1, #ドーナツ
2021-06-02,ミスタードーナツ 岡山駅前ショップ,岡山県,133.9211502043078,34.66582982152178,1, #ドーナツ
2021-05-09,TSUBAME DONUT 渡辺通店,none,130.4044233256769,33.58629783982719,1, #ドーナツ
2021-04-28,ミサキドーナツ 横浜ハンマーヘッド店,神奈川県,139.63936231583256,35.45615488024745,1, #ドーナツ
2021-04-26,CYCLO（シクロ）,千葉県,139.91658882926077,35.88311099875924,1, #ドーナツ
2021-04-25,福ベーグル 夕やけだんだん谷中銀座店,東京都,139.76703540562372,35.72775448018337,1, #ドーナツ
2021-04-22,Bagel store Bonheur,大阪府,-1,-1,1, #ドーナツ
2021-04-11,VEGETRICOT.(ベジトリコ),愛知県,136.9634107056118,35.137105380324776,1, #ドーナツ
2021-04-03,ミスタードーナツ堺東駅前ショップ,大阪府,135.4835018292592,34.57377099877919,1, #ドーナツ
2021-04-03,fujico muffin 逗子店 （フジコマフィン）,神奈川県,139.60259200183978,35.29762350701597,1, #ドーナツ
2021-03-26,MOGMOG&,北海道,-1,-1,1, #ドーナツ
2021-03-25,クリスピー・クリーム・ドーナツ LINKS UMEDA店,大阪府,135.4957074276463,34.70418978043357,1, #ドーナツ
2021-03-24,クリスピー・クリーム・ドーナツ 池袋ショッピングパーク店,東京都,139.71224148391693,35.73047913039157,1, #ドーナツ
2021-03-16,ミスタードーナツ イオンモール幕張新都心ショップ,千葉県,140.02475831583664,35.6563010802002,1, #ドーナツ
2021-03-11,nicoドーナツ トキハ本店,大分県,131.6074893374311,33.23721834433818,1, #ドーナツ
2021-03-05,フロレスタ王子公園店,兵庫県,135.21944522486925,34.71059383531219,1, #ドーナツ
2021-03-05,ミスタードーナツ イオンモール新利府ショップ,宮城県,140.97148107898806,38.32270199547054,1, #ドーナツ
2021-03-04,THE CITY DONUTS AND COFFEE,兵庫県,135.1897647201648,34.69815048026636,1, #ドーナツ
2021-02-28,ミスタードーナツ ekimo天王寺ショップ,大阪府,135.51341882925925,34.64596479877807,1, #ドーナツ
2021-02-03,Soyo’s bakery （ソヨズベーカリー）,鳥取県,133.85003312394312,35.45383656251021,1, #ドーナツ
2021-01-25,BAGEL&BAGEL アスナル金山店,愛知県,136.9006626792438,35.14400139877021,1, #ドーナツ
2020-11-20,Perori Chigasaki,神奈川県,139.40766082926007,35.3252099987674,1, #ドーナツ
2020-11-19,ミスタードーナツ セントラルパーク ショップ,愛知県,136.9072010789737,35.17152799561594,1, #ドーナツ
2020-11-19,ミスタードーナツイオン原ショップ,福岡県,130.3398710157955,33.56453848074154,1, #ドーナツ
2020-11-16,クリスピー・クリーム・ドーナツららテラス武蔵小杉店,神奈川県,139.65965401296825,35.575164480219215,1, #ドーナツ
2020-11-01,フロレスタイオンタウン各務原店,岐阜県,136.848059412965,35.41174808025799,1, #ドーナツ
2020-10-28,フロレスタ米子店,鳥取県,133.3200794729441,35.43599384894728,1, #ドーナツ
2020-10-12,ミスタードーナツ 津ステーションショップ,三重県,136.51234551581823,34.735363530425566,1, #ドーナツ
2020-10-07,ミスタードーナツ 新潟万代シテイ ショップ,新潟県,-1,-1,1, #ドーナツ
2020-09-14,クリスピー・クリーム・ドーナツ ららぽーと愛知東郷店,愛知県,137.04604317005166,35.09839599724075,1, #ドーナツ
2020-09-02,ミスタードーナツ マルイファミリー志木ショップ,埼玉県,139.57188651583994,35.8234622801614,1, #ドーナツ
2020-07-14,クリスピー・クリーム・ドーナツ アトレヴィ三鷹店,東京都,139.56031082924451,35.70253299876188,1, #ドーナツ
2020-06-25,ミスタードーナツ イオン札幌麻生ショップ,北海道,141.33888182927075,43.1070869986965,1, #ドーナツ
2020-06-04,GEs BAGLE WORKS,埼玉県,139.6080455517627,35.80890870982341,1, #ドーナツ
2020-05-24,ミスタードーナツ コースカベイサイドショップ,神奈川県,139.66181488153777,35.28293699838696,1, #ドーナツ
2020-05-23,ミスタードーナツ みのおキューズモールショップ,大阪府,135.49109719806899,34.83234852141321,1, #ドーナツ
2020-04-20,○粉房 （わこうぼう）郡山 フェスタ日和田店,福島県,140.37528382926334,37.44266499873886,1, #ドーナツ
2020-04-09,ミスタードーナツ トナリエ栂・美木多 ショップ,大阪府,135.4885196158231,34.484332980490464,1, #ドーナツ
2020-04-09,COFFEE & DONUTS 5 – FIVE,栃木県,-1,-1,1, #ドーナツ
2020-03-28,ミスタードーナツイオンスタイル海老江ショップ,大阪府,135.47522182924382,34.69787199877726,1, #ドーナツ
2020-03-22,ミスタードーナツ阪神大阪梅田ショップ,大阪府,135.4964888292599,34.701301998777126,1, #ドーナツ
2020-03-17,ミスタードーナツ ニトリモール枚方ショップ,大阪府,-1,-1,1, #ドーナツ
2020-03-17,ミスタードーナツ 船橋FACEショップ,千葉県,139.98330021584715,35.700725180189785,1, #ドーナツ
2020-03-17,ミスタードーナツ  テラッソ姫路ショップ,兵庫県,134.6934537278064,34.827303580402116,1, #ドーナツ
2020-03-13,フロレスタ熊本城京町店,熊本県,130.70530100000002,32.811595,1, #ドーナツ
2020-03-08,JACK IN THE DONUTS 羽生店,埼玉県,139.5399446158561,36.142677080089385,1, #ドーナツ
2020-02-22,アシタベ,香川県,133.6832488292432,34.217060998785094,1, #ドーナツ
2020-02-21,キセツノネイロ/neiroドーナツ,京都府,135.78968672926047,35.08571949877108,1, #ドーナツ
2020-02-10,フロレスタ大分大在店,大分県,131.7334638292582,33.2433599988021,1, #ドーナツ
2020-02-03,トモヱベーグルサンドウィッチラボ,北海道,141.5770610348585,42.88198598981672,1, #ドーナツ
2020-01-31,ミスタードーナツ 名古屋駅桜通口店,愛知県,136.8857768292445,35.17007999876977,1, #ドーナツ
2020-01-21,Bagel & Scone designK,京都府,135.744336056617,35.01818075080785,1, #ドーナツ
2020-01-03,BAGEL & BAGEL City 洛北阪急スクエア店,京都府,135.77874581409213,35.04111716744931,1, #ドーナツ
2020-01-03,ミスタードーナツ 洛北阪急スクエアショップ,京都府,135.77874581409213,35.04111716744931,1, #ドーナツ
2019-12-23,ヘンボッハン テッペ 沖縄店,沖縄県,127.88461882925118,26.657773998952376,1, #ドーナツ
2019-12-13,JACK IN THE DONUTS THE OUTLETS HIROSHIMA店,広島県,132.39564411582165,34.40988178051017,1, #ドーナツ
2019-12-02,珈琲とドーナツ ふわもち邸,東京都,139.63412382926106,35.62755699876292,1, #ドーナツ
2019-12-01,BAGEL＆BAGEL 南町田グランベリーパーク店,東京都,139.47017007897725,35.51024499559779,1, #ドーナツ
2019-12-01,JACK IN THE DONUTS グランベリーパーク店,東京都,139.47017007897725,35.51024499559779,1, #ドーナツ
2019-11-22,ベーグル ファンズ イオンモール明和店,三重県,136.61315021582504,34.58123238046535,1, #ドーナツ
2019-10-03,JACK IN THE DONUTS ららぽーと沼津店,静岡県,138.83961772871865,35.11834296803343,1, #ドーナツ
2019-10-01,もみじ堂,広島県,132.4759509816671,34.398751806293554,1, #ドーナツ
2019-09-30,ミスタードーナツ させぼ五番街ショップ,長崎県,129.72278681407244,33.16521026829255,1, #ドーナツ
2019-09-26,フロレスタ須磨キッチン店,兵庫県,135.1157368292599,34.643835998778094,1, #ドーナツ
2019-09-13,ジャック イン ザ ドーナッツ イオン藤井寺ショッピングセンター店,大阪府,135.59292351408408,34.57394926765048,1, #ドーナツ
2019-09-10,粉模様の空,香川県,133.7038908292592,34.096835998787085,1, #ドーナツ
2019-08-29,BAGEL ＆ BAGEL City 徳島ローランギャロス 店,徳島県,134.53666412870496,34.04350986848855,1, #ドーナツ
2019-08-03,ぐるぐるべゑぐる,神奈川県,139.55060080676017,35.31754766718571,1, #ドーナツ
2019-08-01,クリスピー・クリーム・ドーナツ 越谷レイクタウン店,埼玉県,139.82276521585072,35.87774288014892,1, #ドーナツ
2019-07-30,ジャックインザドーナッツ イオンモール東浦店,愛知県,136.97198921583268,34.97875048036409,1, #ドーナツ
2019-07-19,Home Made Donuts NISCO,三重県,136.02945082925885,33.83013499879168,1, #ドーナツ
2019-07-12,クリスピー・クリーム・ドーナツ神戸マルイ店,兵庫県,135.1936235287229,34.69258456820922,1, #ドーナツ
2019-06-08,Specialty Pumpkin Zucca,兵庫県,135.19074646794445,34.69025478598482,1, #ドーナツ
2019-06-05,ZARAME BASE,京都府,135.7293738292603,35.03188399877195,1, #ドーナツ
2019-05-24,ヘンボッハン テッペ 幸せの宅急便,宮城県,140.87953982926447,38.258713998729654,1, #ドーナツ
2019-05-19,ZARAME 京都店,京都府,135.7293718292604,35.0318509987719,1, #ドーナツ
2019-05-19,クリスピー・クリーム・ドーナツ東京ソラマチ店,東京都,139.80860591584718,35.71025598018745,1, #ドーナツ
2019-05-17,パンケーキとベーグルの店 colony コロニー,北海道,141.90226871415763,43.55541106542288,1, #ドーナツ
2019-04-24,JACK IN THE DONUTS（ジャック イン ザ ドーナッツ）ピエリ守山店,滋賀県,135.9428234184907,35.12164577880825,1, #ドーナツ
2019-04-04,ミサキドーナツよこすかポートマーケット店,神奈川県,139.67501582926062,35.283044998768055,1, #ドーナツ
2019-04-02,ミスタードーナツ アクタ西宮店,兵庫県,135.3567738292439,34.747030998776424,1, #ドーナツ
2019-03-31,KAHAKAI 千葉店,千葉県,140.1146182543951,35.61060673747563,1, #ドーナツ
2019-03-30,JUNO（ジュノ） 自由が丘本店,東京都,139.66623240676364,35.60674556706929,1, #ドーナツ
2019-03-21,JACK IN THE DONUTS アルプラザ香里園店,大阪府,135.62275242871854,34.78318366816985,1, #ドーナツ
2019-03-20,koé donuts kyoto コエ・ドーナツ 京都,京都府,135.76733700676013,35.00424126730767,1, #ドーナツ
2019-03-19,クリスピー・クリーム・ドーナツ北心斎橋店,大阪府,135.501172006754,34.67601296745022,1, #ドーナツ
2019-03-05,ミスタードーナツいよてつ髙島屋ショップ,愛媛県,132.7631369056297,33.8353477616868,1, #ドーナツ
2019-02-27,ミスタードーナツ 天王寺ミオショップ,大阪府,135.51240171545177,34.646791893610704,1, #ドーナツ
2019-02-27,つむぎベーグル,埼玉県,139.186873006776,36.23527416683057,1, #ドーナツ
2019-02-14,ミスタードーナツ フレンドタウン交野 ショップ,大阪府,135.67371365828598,34.77413499510392,1, #ドーナツ
2019-02-13,クリスピー・クリーム・ドーナツ コトチカ四条店,京都府,135.75913082926024,35.00300299877241,1, #ドーナツ
2018-12-13,BAGEL & BAGEL City 新所沢店,埼玉県,139.4572854887025,35.807478529185744,1, #ドーナツ
2018-12-12,スイーツDecoいるむ,北海道,141.4211675784843,43.03429456556367,1, #ドーナツ
2018-11-29,クリスピー・クリーム・ドーナツ 中野マルイ店,東京都,139.66462419296536,35.70475872400488,1, #ドーナツ
2018-11-25,クリスピー・クリーム・ドーナツ 柏高島屋ステーションモール店,千葉県,139.97056510608306,35.86283918287125,1, #ドーナツ
2018-11-25,BAGEL & BAGEL 柏高島屋ステーションモール店,千葉県,139.97056510608306,35.86283918287125,1, #ドーナツ
2018-11-23,ナチュアプラス イオンタウン川西店,兵庫県,135.41660102744498,34.85598899655125,1, #ドーナツ
2018-11-06,JACK IN THE DONUTS イオンモール津南店,三重県,136.5152749793398,34.67106144207654,1, #ドーナツ
2018-11-01,クリスピー・クリーム・ドーナツ 札幌ポールタウン店,北海道,141.3507086801174,43.05727889887905,1, #ドーナツ
2018-10-30,クリスピー・クリーム・ドーナツ流山おおたかの森 こかげテラス店,千葉県,139.9243491703307,35.87168808550467,1, #ドーナツ
2018-10-24,BAGEL & BAGEL 京王府中ショッピングセンター 店,東京都,139.4787611066603,35.67241186720613,1, #ドーナツ
2018-10-24,BAGEL & BAGEL City豊田高橋店,愛知県,137.18277237100028,35.09010735681309,1, #ドーナツ
2018-10-18,クリスピークリームドーナツ千歳アウトレットモール・レラ店,北海道,141.67294388011183,42.811194014585695,1, #ドーナツ
2018-10-17,BAGEL & BAGEL City  巣鴨店,東京都,139.74123862972198,35.73139795832573,1, #ドーナツ
2018-10-13,BALL DONUT PARK(ボール ドーナツ パーク)那覇オーパ店,沖縄県,127.67676070332527,26.21101816626808,1, #ドーナツ
2018-09-27,JACK IN THE DONUTS ららぽーと名古屋みなとアクルス,愛知県,136.88069867984413,35.109892368796366,1, #ドーナツ
2018-09-26,ツキノニジ,愛知県,137.03413537110887,35.17153216734385,1, #ドーナツ
2018-09-19,JACK IN THE DONUTSイオンモール出雲店,島根県,132.73014763211597,35.36755035481537,1, #ドーナツ
2018-09-14, ミスタードーナツ 京急川崎ショップ,神奈川県,139.70016779305124,35.53246666797133,1, #ドーナツ
2018-09-08,もとはし屋 昔ながらのあんドーナツ マルイファミリー志木店,埼玉県,139.57198427985898,35.82338102986701,1, #ドーナツ
2018-09-06,JACK IN THE DONUTS アルプラザ城陽店,京都府,135.7836622798205,34.84244408321692,1, #ドーナツ
2018-08-09,Nuts DOM くずはモール店,大阪府,135.67531061540674,34.86134848210458,1, #ドーナツ
2018-06-21,ジャック イン ザ ドーナッツ イオンモール和歌山店,和歌山県,135.1470899798276,34.27545201347651,1, #ドーナツ
2018-06-16,BAGEL＆BAGEL 京急百貨店 上大岡店,神奈川県,139.59585199171104,35.40851105258401,1, #ドーナツ
2018-06-14,ジャックインザドーナツ イオンモールいわき小名浜店,福島県,140.9022801599041,36.94685302152403,1, #ドーナツ
2018-04-27,クリスピー・クリーム・ドーナツ MiO香久山店,愛知県,137.02490871522588,35.14219748032342,1, #ドーナツ
2018-04-27,クリスピー・クリーム・ドーナツ町田マルイ店,東京都,139.44263757996535,35.54276478032361,1, #ドーナツ
2018-04-26,ミスタードーナツ ジョイナステラス二俣川ショップ,神奈川県,139.5316738275458,35.46357938024553,1, #ドーナツ
2018-03-25,Eltana（エルタナ）肥後橋店,大阪府,135.4965421126168,34.68962978043732,1, #ドーナツ
2018-03-25,クリスピークリームドーナツ吉祥寺元町通り店,東京都,139.57886170529048,35.70415278018889,1, #ドーナツ
2018-03-25,クリスピークリームドーナツ玉川髙島屋S・C店,東京都,139.62463751554398,35.6147764802099,1, #ドーナツ
2018-03-23,ミスタードーナツ 西広島駅前ショップ,広島県,132.42564868000954,34.39683798060894,1, #ドーナツ
2018-03-22,ベーグル&ベーグル ピオレ姫路店,兵庫県,134.68982965491668,34.827193681541004,1, #ドーナツ
2018-03-16,ミスタードーナツ イオンモール座間ショップ,神奈川県,139.42236578007913,35.5003198475757,1, #ドーナツ
